Data structure (type),Attributes,Data type,Max length (bytes or EOF),Description,Note: 8 byte timestamps are used as applications using 4 byte timestamps will stop working in 2038
users (array of records),id,integer,8,Primary key,All keys are 8 bytes as that is SQLite's max size for INTEGERs (Which are used as primary keys)
,sub,string,EOF,OIDC subject claim from school-portal supplied JWT,"Note: for keys bytes, strings in size for display"
,name,string,EOF,Full name of user (from school portal),
,email,string,EOF,Email address of user (from school portal),
,created_at,timestamp,8,When the record was created,
,role,integer,8,Role ID (foreign key to roles table),
,role_display,string,EOF,Display name for role,
,is_admin,boolean,1,Whether the user has admin rights,
subjects (array of records),id,integer,8,Primary key,
,name,string,EOF,,
,created_at,timestamp,8,When the record was created,
,topics,array of topic records,EOF,Subtopics of this subject,
topic (record),id,integer,8,Primary key,
,name,string,EOF,,
,description,string,EOF,,
,created_at,timestamp,8,When the record was created,
,subtopics,array of records,EOF,Subtopics of this topic,
difficulty_ratings (array of records),id,integer,8,Primary key,
,topic_id,integer,8,Foreign Key to topic,
,created_at,timestamp,8,When the record was created,
,user_id,integer,8,User who rated topic (foreign key to users),
contribution_credits (array of records),id,integer,8,Primary key,
,points,integer,4,Number of points this contribution is worth,
,created_at,timestamp,8,When the record was created,
,user_id,integer,8,Recipient of the contribution credit (foreign key to users),
,reason_id,integer,8,ID of the credit reason (foreign key to credit_reasons),
,reason_name,string,EOF,Internal name of credit reason,
,reason_display_name,string,EOF,Display name of credit reason,
audit_logs (array of records),id,integer,8,Primary key,
,user_id,integer,8,Moderator who performed the action (foreign key to users),
,created_at,integer,8,When the record was created,
,operation,string,EOF,JSON description of the operation,
sessions (array of records),created_at,integer,8,When the record was created,
,location,string,EOF,Voice channel or meeting link to join the session,
,capacity,integer,4,Max number of students allowed to join the session,
,title,string,EOF,Title of the session,
,description,string,EOF,Description of the session,
,needs_join_requests,boolean,1,Whether the session needs a request to join,
,open,boolean,1,Whether the session is open to new participants,
,host,integer,8,User who hosts the session (foreign key to users),
,subject_id,integer,8,The subject the session is associated with (foreign key to subjects),
,topic_id,array of integer,EOF,Topics the session is associated with (foreign key to topics),
,id,integer,8,Primary key,
,session_start,integer,8,Timestamp the session starts,
,session_end,integer,8,Timestamp the session ends,
,upvotes_id,integer,8,Foreign key to upvotes_collection,
,scheduing_poll_id,integer,8,Foreign key to scheduling_poll,
,participants,array of records,EOF,Participants in this session,
,feedback,array of records,EOF,Feedback ratings given by session members,
participant (record),id,integer,8,Primary key,
,created_at,integer,8,When the record was created,
,status_id,integer,8,The status of the students' request to join the session (foreign key to session_participant_statuses),
,status_display,string,EOF,The display name for the status of the students' request to join the session,
,user_id,integer,8,The participant (foreign key to users),
feedback (record),id,integer,8,Primary key,
,created_at,integer,8,When the record was created,
,rating,integer,4,Rating out of 5 for the session,
,feedback,string,EOF,Optional written feedback for the session,
,created_by,integer,8,Who created this feedback record (foreign key to user)
